H_bin,S_bin,n_files,codec_a,codec_b,kendall_tau
H1,S4,8,zstd-1,zstd-19,1.0
H1,S4,8,zstd-1,bzip2-9,1.0
H1,S4,8,zstd-1,zpaq-m5,1.0
H1,S4,8,zstd-19,bzip2-9,1.0
H1,S4,8,zstd-19,zpaq-m5,1.0
H1,S4,8,bzip2-9,zpaq-m5,1.0
H2,S4,6,zstd-1,zstd-19,1.0
H2,S4,6,zstd-1,bzip2-9,1.0
H2,S4,6,zstd-1,zpaq-m5,1.0
H2,S4,6,zstd-19,bzip2-9,1.0
H2,S4,6,zstd-19,zpaq-m5,1.0
H2,S4,6,bzip2-9,zpaq-m5,1.0
H3,S2,17,zstd-1,zstd-19,0.7353
H3,S2,17,zstd-1,bzip2-9,0.8676
H3,S2,17,zstd-1,zpaq-m5,0.8529
H3,S2,17,zstd-19,bzip2-9,0.7794
H3,S2,17,zstd-19,zpaq-m5,0.6471
H3,S2,17,bzip2-9,zpaq-m5,0.8676
H3,S4,3,zstd-1,zstd-19,1.0
H3,S4,3,zstd-1,bzip2-9,1.0
H3,S4,3,zstd-1,zpaq-m5,1.0
H3,S4,3,zstd-19,bzip2-9,1.0
H3,S4,3,zstd-19,zpaq-m5,1.0
H3,S4,3,bzip2-9,zpaq-m5,1.0
H4,S2,5,zstd-1,zstd-19,1.0
H4,S2,5,zstd-1,bzip2-9,0.0
H4,S2,5,zstd-1,zpaq-m5,0.0
H4,S2,5,zstd-19,bzip2-9,0.0
H4,S2,5,zstd-19,zpaq-m5,0.0
H4,S2,5,bzip2-9,zpaq-m5,1.0
H4,S4,3,zstd-1,zstd-19,1.0
H4,S4,3,zstd-1,bzip2-9,1.0
H4,S4,3,zstd-1,zpaq-m5,1.0
H4,S4,3,zstd-19,bzip2-9,1.0
H4,S4,3,zstd-19,zpaq-m5,1.0
H4,S4,3,bzip2-9,zpaq-m5,1.0
H6,S0,9,zstd-1,zstd-19,0.5556
H6,S0,9,zstd-1,bzip2-9,0.3889
H6,S0,9,zstd-1,zpaq-m5,-0.8889
H6,S0,9,zstd-19,bzip2-9,0.7222
H6,S0,9,zstd-19,zpaq-m5,-0.4444
H6,S0,9,bzip2-9,zpaq-m5,-0.2778
H6,S1,4,zstd-1,zstd-19,0.6667
H6,S1,4,zstd-1,bzip2-9,0.6667
H6,S1,4,zstd-1,zpaq-m5,0.6667
H6,S1,4,zstd-19,bzip2-9,1.0
H6,S1,4,zstd-19,zpaq-m5,1.0
H6,S1,4,bzip2-9,zpaq-m5,1.0
H6,S2,10,zstd-1,zstd-19,0.7333
H6,S2,10,zstd-1,bzip2-9,0.3778
H6,S2,10,zstd-1,zpaq-m5,0.0667
H6,S2,10,zstd-19,bzip2-9,0.4667
H6,S2,10,zstd-19,zpaq-m5,0.2444
H6,S2,10,bzip2-9,zpaq-m5,0.6
H6,S3,10,zstd-1,zstd-19,0.8667
H6,S3,10,zstd-1,bzip2-9,0.4222
H6,S3,10,zstd-1,zpaq-m5,0.2
H6,S3,10,zstd-19,bzip2-9,0.5556
H6,S3,10,zstd-19,zpaq-m5,0.3333
H6,S3,10,bzip2-9,zpaq-m5,0.6889
H6,S4,3,zstd-1,zstd-19,1.0
H6,S4,3,zstd-1,bzip2-9,1.0
H6,S4,3,zstd-1,zpaq-m5,0.3333
H6,S4,3,zstd-19,bzip2-9,1.0
H6,S4,3,zstd-19,zpaq-m5,0.3333
H6,S4,3,bzip2-9,zpaq-m5,0.3333
